id,CodFornec,Fornecedor,colum1,colum2,colum3,colum4,colum5,colum6,colum7,colum8,colum9,colum10,colum11,colum12,colum13,colum14
119,3303,NORDESTINA INDUSTRIA DE ALIMENTOS EIRELI,3,45.0,45.0,3,174.7,0.0,0.0,524.1,435.29442,88.80558,16.9443961076131,0.0185348626425748,99.7889101591654,1
120,3329,FLORA PRODUTOS DE HIGIENE E LIMPEZA S.A (MINUANO),5,144.0,57.6,5,104.64,0.0,0.0,523.2,473.1528,50.0472,9.56559633027523,0.0185030340289928,99.8074131931944,5
121,2280,COMPANHIA REFINADORA DA AMAZONIA,2,2.0,29.0,2,211.96,0.0,0.0,423.92,305.99883,117.92117,27.8168451594641,0.0149919842996381,99.822405177494,1
122,2824,DOKAPACK INDUSTRIA E COMERCIO DE EMBALAGENS LTDA,4,137.0,48.6,4,94.55,0.0,0.0,378.2,304.770193,73.429807,19.4156020624008,0.0133750907296733,99.8357802682237,11
123,3212,F & O INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,8,180.0,50.4,8,46.905,0.0,0.0,375.24,296.1048,79.1352,21.0892228973457,0.0132704099561148,99.8490506781798,3
124,975,YAKULT S/A INDUSTRIA E COMERCIO LORENA,5,60.0,6.6,5,71.172,0.0,0.0,355.86,227.86587,127.99413,35.9675518462317,0.0125850338103161,99.8616357119901,3
125,3535,"BIFIT INDUSTRIA, DIST IMP E EXP. DE ALIMENTOS LTDA",12,122.0,6.19,12,26.0366666666667,82.39,26.3698630136986,312.44,265.074317,47.365683,15.1599292664191,0.0110494800306164,99.8726851920207,17
126,3486,ELGIN DISTRIBUIDORA,7,31.0,5.604,7,42.2357142857143,0.0,0.0,295.65,224.9098,70.7402,23.9270082868256,0.0104556995616814,99.8831408915824,9
127,2789,PINDUCA INDUSTRIA ALIMENTICIA LTDA,3,53.0,26.2,3,82.6333333333333,0.0,0.0,247.9,187.200123,60.699877,24.4856300927794,0.00876701478552623,99.8919079063679,34
128,1181,JBS S.A,2,3.0,3.0,2,118.68,0.0,0.0,237.36,189.402876,47.957124,20.2043832153691,0.00839426635535501,99.9003021727233,1
129,3686,NUTRI PEIXE INDUSTRIA E COMERCIO DE PESCADOS,2,30.0,30.0,2,116.175,0.0,0.0,232.35,195.733155,36.616845,15.7593479664299,0.00821708707308197,99.9085192597963,0
130,3235,POLENGHI INDUSTRIAS ALIMENTICIAS LTDA,5,24.0,108.559,5,45.056,0.0,0.0,225.28,159.697234,65.582766,29.1116681463068,0.00796705563083239,99.9164863154272,17
131,19,QUALICOCO AGUA DE COCO COCONUT,2,24.0,24.0,2,112.2,0.0,0.0,224.4,142.857,81.543,36.3382352941177,0.00793593431977445,99.924422249747,0
132,3623,ARZUA DISTRIBUIDORA DE COSMETICOS LTDA,7,147.0,11.52,7,30.3257142857143,0.0,0.0,212.28,176.012748,36.267252,17.0846297343132,0.00750730899020374,99.9319295587372,0
133,2401,ATACADAO S A,2,48.0,2.88,2,104.28,0.0,0.0,208.56,179.75676,28.80324,13.8105293440736,0.00737575072073155,99.9393053094579,1
134,3549,MELITTA DO BRASIL INDUSTRIA E COMERCIO LTDA.,4,27.0,0.82,4,43.0475,0.0,0.0,172.19,146.28541,25.90459,15.0441895580463,0.00608952108075741,99.9453948305386,0
135,1068,GOIAS MINAS INDUSTRIA DE LATICINIOS LTDA,2,39.0,15.465,2,85.635,0.0,0.0,171.27,137.784612,33.485388,19.5512278857944,0.00605698516465138,99.9514518157033,49
136,3454,ZUPPANI INDUSTRIAL LTDA,1,43.0,4.636,1,166.16,0.0,0.0,166.16,186.686088,-20.526088,-12.3532065479056,0.00587626936975812,99.957328085073,0
